PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR,PLAYER_NAME,HEIGHT_INCHES,WEIGHT_LBS,IS_UNDRAFTED
77154,Johnson,Ken,ken-johnson,1610612757,blazers,0,Portland,Trail Blazers,POR,00,F,Michigan State,USA,1985.0,2.0,28.0,,4.1,3.8,0.3,Career,1985,1985,Ken Johnson,80.0,240.0,False
1630553,Johnson,Keon,keon-johnson,1610612751,nets,0,Brooklyn,Nets,BKN,45,G,Tennessee,USA,2021.0,1.0,21.0,1.0,10.6,3.8,2.2,Season,2021,2024,Keon Johnson,77.0,185.0,False
1642352,Johnson,Keshad,keshad-johnson,1610612748,heat,0,Miami,Heat,MIA,16,F,Arizona,USA,,,,1.0,2.7,1.8,0.3,Season,2024,2024,Keshad Johnson,79.0,225.0,True
134,Johnson,Kevin,kevin-johnson,1610612756,suns,0,Phoenix,Suns,PHX,7,G,California,USA,1987.0,1.0,7.0,,17.9,3.3,9.1,Career,1987,1999,Kevin Johnson,73.0,190.0,False
1641749,Johnson,Keyontae,keyontae-johnson,1610612766,hornets,0,Charlotte,Hornets,CHA,18,F,Kansas State,USA,2023.0,2.0,50.0,,1.2,1.1,0.4,Career,2023,2023,Keyontae Johnson,76.0,230.0,False
913,Johnson,Larry,larry-johnson,1610612766,hornets,0,Charlotte,Hornets,CHA,2,F,UNLV,USA,1991.0,1.0,1.0,,16.2,7.5,3.3,Career,1991,2000,Larry Johnson,79.0,235.0,False
77156,Johnson,Larry,larry-johnson,1610612746,clippers,0,LA,Clippers,LAC,10,G,Kentucky,USA,1977.0,2.0,24.0,,1.5,1.3,1.8,Career,1977,1977,Larry Johnson,75.0,205.0,False
77158,Johnson,Lee,lee-johnson,1610612745,rockets,0,Houston,Rockets,HOU,,F,Texas A&M-Commerce,USA,1979.0,1.0,17.0,,1.4,1.8,0.1,Career,1980,1980,Lee Johnson,83.0,205.0,False
2669,Johnson,Linton,linton-johnson,1610612740,pelicans,0,New Orleans,Pelicans,NOP,54,F,Tulane,USA,,,,,3.9,3.3,0.4,Career,2003,2008,Linton Johnson,80.0,205.0,True
77159,Johnson,Lynbert,lynbert-johnson,1610612744,warriors,0,Golden State,Warriors,GSW,21,F,Wichita State,USA,1979.0,3.0,54.0,,3.0,1.6,0.2,Career,1979,1979,Lynbert Johnson,77.0,195.0,False
77142,Johnson,Magic,magic-johnson,1610612747,lakers,0,Los Angeles,Lakers,LAL,32,F-G,Michigan State,USA,1979.0,1.0,1.0,,19.5,7.2,11.2,Career,1979,1995,Magic Johnson,81.0,220.0,False
77160,Johnson,Marques,marques-johnson,1610612749,bucks,0,Milwaukee,Bucks,MIL,8,F,UCLA,USA,1977.0,1.0,3.0,,20.1,7.0,3.6,Career,1977,1989,Marques Johnson,79.0,218.0,False
77168,Johnson,Mickey,mickey-johnson,1610612741,bulls,0,Chicago,Bulls,CHI,43,F,Aurora,USA,1974.0,4.0,56.0,,14.1,7.2,3.0,Career,1974,1985,Mickey Johnson,82.0,190.0,False
77161,Johnson,Neil,neil-johnson,1610612756,suns,0,Phoenix,Suns,PHX,11,F,Creighton,USA,1966.0,2.0,15.0,,4.0,3.4,1.1,Career,1966,1969,Neil Johnson,79.0,220.0,False
203910,Johnson,Nick,nick-johnson,1610612745,rockets,0,Houston,Rockets,HOU,3,G,Arizona,USA,2014.0,2.0,42.0,,2.6,1.4,0.4,Career,2014,2014,Nick Johnson,75.0,202.0,False
77162,Johnson,Ollie,ollie-johnson,1610612758,kings,0,Sacramento,Kings,SAC,18,F,Temple,USA,1972.0,2.0,30.0,,7.7,3.3,1.8,Career,1972,1981,Ollie Johnson,78.0,200.0,False
